"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"HW 005"	"33384 - 33385"	6919	"Honey"	"HW"	FALSE	"HW 005"	"6/8/2009 2:51"	"6/8/2009 21:34"	"6/8/2009 8:51"	"6/9/2009 3:34"	"8-Jun-09"	"12-Jun-09"	"Jun"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	291.85	291.85	7200	3200	2210649	639176	"BLD1:1"	60	NA	1620	"6/8/2009 1:15"	"6/9/2009 4:30"	108.5829	888.61	"HW 005"	FALSE	"Rainfall"	2009-06-08 08:51:00	2009-06-08	2009-06-08 06:15:00	2009-06-09 09:30:00	9382004.9102625	888.609	27.25	2009-06-08 05:00:00	2009-06-08 22:00:00	25.06908276	0	0	77535.4374615684	77535.4374615684	1912815.31513892	850140.140061741	587300453.277296	169809116.926282	15940.1276261576	430383.445906256
"HW 006"	"33397 - 33398"	7004	"Honey"	"HW"	FALSE	"HW 006"	"6/15/2009 20:51"	"6/16/2009 11:42"	"6/16/2009 2:51"	"6/16/2009 17:42"	"15-Jun-09"	"15-Jun-09"	"Jun"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	870	660	235521	9995	NA	244	NA	611	"6/15/2009 20:51"	"6/16/2009 11:42"	NA	NA	NA	NA	NA	2009-06-16 02:51:00	2009-06-16	2009-06-16 01:51:00	2009-06-16 16:42:00	59353.36344	1.18959	14.85	2009-06-16 01:00:00	2009-06-16 16:00:00	0	0	0	0	0	1462.20907590724	1109.2620575848	395840.165249137	16798.5973720608	410.090821288927	1026.90775330957
"HW 009"	"33443 - 33444"	7772	"Honey"	"HW"	FALSE	"HW 009"	"8/11/2009 12:12"	"8/12/2009 8:29"	"8/11/2009 18:12"	"8/12/2009 14:29"	"11-Aug-09"	"14-Aug-09"	"Aug"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	7.21	0	0	7.21	740	1070	62578	30118	NA	263	NA	68	"8/11/2009 12:12"	"8/12/2009 8:29"	NA	NA	NA	NA	NA	2009-08-11 18:12:00	2009-08-11	2009-08-11 17:12:00	2009-08-12 13:29:00	222329.6630891	4.038744	20.2833333333333	2009-08-11 17:00:00	2009-08-12 13:00:00	0	45.3918164799501	0	0	45.3918164799501	4658.79947228337	6736.37220992325	393970.747806147	189613.138521933	1655.76251514936	428.105897453066
"HW 011"	"33462 - 33463"	8304	"Honey"	"HW"	FALSE	"HW 011"	"9/14/2009 9:59"	"9/15/2009 8:29"	"9/14/2009 15:59"	"9/15/2009 14:29"	"14-Sep-09"	"17-Sep-09"	"Sep"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	24.81	0	0	24.81	440	320	243017	23683	NA	1819	NA	360	"9/14/2009 9:59"	"9/15/2009 8:29"	NA	NA	NA	NA	NA	2009-09-14 15:59:00	2009-09-14	2009-09-14 14:59:00	2009-09-15 13:29:00	77165.863239	1.33407	22.5	2009-09-14 04:00:00	2009-09-14 06:00:00	2.1700376	54.2121799437696	0	0	54.2121799437696	961.441321050327	699.230051672965	531014.967085653	51749.5791055338	3974.68582497851	786.633808132086
"HW 012"	"33474 - 33475"	8458	"Honey"	"HW"	FALSE	"HW 012"	"9/22/2009 12:39"	"9/23/2009 2:18"	"9/22/2009 18:39"	"9/23/2009 8:18"	"22-Sep-09"	""	"Sep"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"9/22/2009 12:39"	"9/23/2009 4:00"	19.7835	147.28	"HW 012"	FALSE	"Rainfall"	2009-09-22 18:39:00	2009-09-22	2009-09-22 17:39:00	2009-09-23 09:00:00	1709452.5705675	147.2808	15.35	2009-09-22 02:00:00	2009-09-23 00:00:00	7.268354156	0	0	0	0	NA	NA	NA	NA	NA	NA
"HW 013"	"33484 - 33485"	NA	"Honey"	"HW"	FALSE	"HW 013"	"9/27/2009 19:41"	"9/28/2009 6:14"	"9/28/2009 1:41"	"9/28/2009 12:14"	"27-Sep-09"	"26-Sep-09"	"Sep"	"Event"	"Rainfall "	"Rainfall "	NA	0	0	0	0	22000	16000	1397199	121857	NA	8553	NA	3539	"9/27/2009 19:30"	"9/28/2009 21:00"	30.525	195.22	"HW 013"	FALSE	"Rainfall"	2009-09-28 01:41:00	2009-09-28	2009-09-28 00:30:00	2009-09-29 02:00:00	2637351.3688125	195.2244	25.5	2009-09-27 20:00:00	2009-09-28 23:00:00	20.138570544	0	0	0	0	1642992.43063703	1194903.58591784	104344880.958801	9100460.39182436	638750.648147203	264297.736910201
"HW 014"	"33494 - 33495"	NA	"Honey"	"HW"	FALSE	"HW 014"	"10/1/2009 20:29"	"10/2/2009 9:23"	"10/2/2009 2:29"	"10/2/2009 15:23"	"1-Oct-09"	NA	"Oct"	"Event"	"Rainfall "	"Rainfall "	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"10/1/2009 19:45"	"10/2/2009 14:30"	46.072	199.5487	"HW 014"	FALSE	"Rainfall"	2009-10-02 02:29:00	2009-10-02	2009-10-02 00:45:00	2009-10-02 19:30:00	3984681.1851	199.5487	18.75	2009-10-01 21:00:00	2009-10-02 10:00:00	24.697126815	0	0	0	0	NA	NA	NA	NA	NA	NA
"HW 015"	"33530 - 33531"	8657	"Honey"	"HW"	FALSE	"HW 015"	"10/22/2009 9:11"	"10/24/2009 1:38"	"10/22/2009 15:11"	"10/24/2009 7:38"	"22-Oct-09"	"25-Oct-09"	"Oct"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0.81	0	0	0.81	3700	3400	611698	125457	NA	4293	NA	5788	"10/22/2009 6:15"	"10/24/2009 14:00"	150.1438	240.7742	"HW 015"	FALSE	"Rainfall"	2009-10-22 15:11:00	2009-10-22	2009-10-22 11:15:00	2009-10-24 19:00:00	12972436.6734	240.7742	55.75	2009-10-22 10:00:00	2009-10-23 20:00:00	53.46349489	297.544184356133	0	0	297.544184356133	1359152.44705888	1248950.89729735	224700225.286763	46085186.0947746	1576984.17708751	2126155.23339913
"HW 016"	"33556 - 33557"	8666	"Honey"	"HW"	FALSE	"HW 016"	"11/17/2009 17:43"	"11/18/2009 15:26"	"11/17/2009 23:43"	"11/18/2009 21:26"	"17-Nov-09"	"21-Nov-09"	"Nov"	"Baseflow"	"Baseflow"	"Baseflow"	"Rain"	0	0	0	0	25600	10600	1726738	687646	NA	6128	NA	6848	"11/17/2009 17:43"	"11/18/2009 15:26"	NA	NA	NA	NA	NA	2009-11-17 23:43:00	2009-11-17	2009-11-17 23:43:00	2009-11-18 21:26:00	488335.584875	34.55027	21.7166666666667	2009-11-18 05:00:00	2009-11-18 20:00:00	5.335750867	0	0	0	0	353999.970363391	146578.112728592	23877546.9072399	9508854.04767596	84738.7429057368	94694.9920722072
"HW 017"	"33579 - 33580"	NA	"Honey"	"HW"	FALSE	"HW 017"	"12/24/2009 22:00"	"12/27/2009 4:49"	"12/25/2009 4:00"	"12/27/2009 10:49"	"24-Dec-09"	NA	"Dec"	"Event"	"Mix"	"Mix"	NA	0.68	0	0	0.68	NA	NA	NA	NA	NA	NA	NA	NA	"12/24/2009 15:45"	"12/27/2009 10:00"	231.4212	540.1531	"HW 017"	FALSE	"Mix"	2009-12-25 04:00:00	2009-12-25	2009-12-24 21:45:00	2009-12-27 16:00:00	19994813.199	540.1531	66.25	2009-12-23 22:00:00	2009-12-27 04:00:00	45.789393466	385.00923943441	0	0	385.00923943441	NA	NA	NA	NA	NA	NA
"HW 018"	"33596 - 33597"	8695	"Honey"	"HW"	FALSE	"HW 018"	"1/20/2010 12:23"	"1/21/2010 11:15"	"1/20/2010 18:23"	"1/21/2010 17:15"	"20-Jan-10"	"23-Jan-10"	"Jan"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	147	49	274039	36537	NA	5848	NA	11368	"1/20/2010 12:23"	"1/21/2010 11:15"	NA	NA	NA	NA	NA	2010-01-20 18:23:00	2010-01-20	2010-01-20 18:23:00	2010-01-21 17:15:00	130970.58567	1.653586	22.8666666666667	2010-01-20 18:00:00	2010-01-21 17:00:00	0	0	0	0	0	545.175075424822	181.725025141607	1016321.30948533	135503.821297937	21688.3254495535	42160.2058328529
"HW 019"	"33604 - 33605"	8704	"Honey"	"HW"	FALSE	"HW 019"	"1/24/2010 5:08"	"1/25/2010 11:04"	"1/24/2010 11:08"	"1/25/2010 17:04"	"24-Jan-10"	"28-Jan-10"	"Jan"	"Event"	"Mix"	"Mix"	"Rain"	0	0	0	0	1600	820	176010	137340	NA	9975	NA	578	"1/24/2010 4:15"	"1/26/2010 4:00"	79.3388	139.9926	"HW 019"	FALSE	"Mix"	2010-01-24 11:08:00	2010-01-24	2010-01-24 10:15:00	2010-01-26 10:00:00	6854890.01175	139.9926	47.75	2010-01-24 09:00:00	2010-01-26 00:00:00	7.324956914	0	0	0	0	310574.190188413	159169.272471561	34165102.0094141	26658912.0502979	1936235.96695588	112194.926205564
"HW 020"	"33614 - 33615"	8720	"Honey"	"HW"	FALSE	"HW 020"	"3/1/2010 9:04"	"3/2/2010 9:19"	"3/1/2010 15:04"	"3/2/2010 15:19"	"1-Mar-10"	"4-Mar-10"	"Mar"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	200	310	326590	51731	NA	9066	NA	8636	"3/1/2010 9:04"	"3/2/2010 9:19"	NA	NA	NA	NA	NA	2010-03-01 15:04:00	2010-03-01	2010-03-01 15:04:00	2010-03-02 15:19:00	309846.07014	6.243196	24.25	2010-03-01 15:00:00	2010-03-02 15:00:00	0	0	0	0	0	1754.77272705769	2719.89772693942	2865456.12464886	453880.739717107	79543.8477175251	75771.0863543511
"HW 021"	"33662 - 33663"	8750	"Honey"	"HW"	FALSE	"HW 021"	"3/9/2010 17:23"	"3/14/2010 10:46"	"3/9/2010 23:23"	"3/14/2010 16:46"	"9-Mar-10"	"17-Mar-10"	"Mar"	"Event"	"Mix"	"Mix"	"Rain"	0	0	0	0	790	34	119751	41753	NA	3225	NA	240	"3/9/2010 13:10"	"3/15/2010 9:00"	168.1386	132.9029	"HW 021"	FALSE	"Mix"	2010-03-09 23:23:00	2010-03-09	2010-03-09 19:10:00	2010-03-15 14:00:00	14459624.33475	132.9029	138.833333333333	2010-03-09 23:00:00	2010-03-13 14:00:00	15.601586965	0	0	0	0	323466.261611402	13921.3327782122	49032162.3977557	17095806.1026087	1320479.35910984	98268.2313756158
"HW 023"	"33682 - 33683"	8802	"Honey"	"HW"	FALSE	"HW 023"	"4/5/2010 22:28"	"4/6/2010 16:35"	"4/6/2010 4:28"	"4/6/2010 22:35"	"5-Apr-10"	"10-Apr-10"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	3400	1730	1527018	48806	NA	4890	NA	1005	"4/5/2010 21:30"	"4/6/2010 20:00"	137.4995	1094.465	"HW 023"	FALSE	"Rainfall"	2010-04-06 04:28:00	2010-04-06	2010-04-06 02:30:00	2010-04-07 01:00:00	11879997.9591	1094.465	22.5	2010-04-05 22:00:00	2010-04-06 15:00:00	27.84404064	0	0	0	0	1143773.87105177	581979.057917516	513695085.007567	16418537.5148684	1645015.94983622	338086.100119713
"HW 024"	"33716 - 33717"	8946	"Honey"	"HW"	FALSE	"HW 024"	"5/11/2010 4:50"	"5/12/2010 6:58"	"5/11/2010 10:50"	"5/12/2010 12:58"	"11-May-10"	"14-May-10"	"May"	"Event"	"Rainfall "	"Rainfall "	NA	0	0	0	0	2500	1800	1315096	131051	NA	4792	NA	5764	"5/11/2010 4:15"	"5/12/2010 9:30"	105.4453	305.911	"HW 024"	FALSE	"Rainfall"	2010-05-11 10:50:00	2010-05-11	2010-05-11 09:15:00	2010-05-12 14:30:00	9112886.15295	305.911	29.25	2010-05-11 03:00:00	2010-05-12 06:00:00	34.007408397	0	0	0	0	645120.498008615	464486.758566203	339358154.579655	33817474.5538108	1236566.97058291	1487389.82020866
"HW 025"	"33903 - 33902"	NA	"Honey"	"HW"	FALSE	"HW 025"	"5/13/2010 0:21"	"5/14/2010 6:26"	"5/13/2010 6:21"	"5/14/2010 12:26"	"13-May-10"	""	"May"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"5/12/2010 22:40"	"5/14/2010 12:00"	187.4799	593.5425	"HW 025"	FALSE	"Rainfall"	2010-05-13 06:21:00	2010-05-13	2010-05-13 03:40:00	2010-05-14 17:00:00	16198219.96965	593.5425	37.3333333333333	2010-05-13 02:00:00	2010-05-13 16:00:00	31.03017296	0	0	0	0	NA	NA	NA	NA	NA	NA
"HW 026"	"33905 - 33904"	8974	"Honey"	"HW"	FALSE	"HW 026"	"5/18/2010 7:44"	"5/19/2010 6:13"	"5/18/2010 13:44"	"5/19/2010 12:13"	"19-May-10"	"21-May-10"	"May"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	70	170	NA	9388	NA	825	NA	1482	"5/18/2010 7:44"	"5/19/2010 6:13"	NA	NA	NA	NA	NA	2010-05-18 13:44:00	2010-05-18	2010-05-18 12:44:00	2010-05-19 11:13:00	567431.57073	7.623108	22.4833333333333	2010-05-19 02:00:00	2010-05-19 04:00:00	0.8459414	0	0	0	0	1124.75109178733	2731.53836576923	NA	150845.189281421	13255.9950103507	23812.5874004118
"HW 027"	"33907 - 33906"	9029	"Honey"	"HW"	FALSE	"HW 027"	"6/2/2010 17:36"	"6/3/2010 10:19"	"6/2/2010 23:36"	"6/3/2010 16:19"	"2-Jun-10"	"4-Jun-10"	"Jun"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	926.09	926.09	23000	6500	1686507	426242	NA	2534	NA	1310	"6/2/2010 17:30"	"6/3/2010 10:30"	126.4772	1319.552	"HW 027"	FALSE	"Rainfall"	2010-06-02 23:36:00	2010-06-02	2010-06-02 22:30:00	2010-06-03 15:30:00	10927645.72215	1319.552	17	2010-06-02 22:00:00	2010-06-03 02:00:00	28.565613553	0	0	286566.018211011	286566.018211011	7117038.75309447	2011337.038918	521866768.537613	131894818.791152	784112.008710495	405361.772458859
"HW 028"	"33909 - 33908"	9313	"Honey"	"HW"	FALSE	"HW 028"	"6/15/2010 15:11"	"6/16/2010 5:45"	"6/15/2010 21:11"	"6/16/2010 11:45"	"15-Jun-10"	"18-Jun-10"	"Jun"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	0	0	NA	24500	221617	335050	NA	3737	NA	6461	"6/15/2010 15:00"	"6/16/2010 11:30"	158.7337	1748.613	"HW 028"	FALSE	"Rainfall"	2010-06-15 21:11:00	2010-06-15	2010-06-15 20:00:00	2010-06-16 16:30:00	13714470.47235	1748.613	20.5	2010-06-15 20:00:00	2010-06-16 05:00:00	26.62948973	0	0	0	0	NA	9514588.6331732	86065085.2701202	130116853.940599	1451266.02947625	2509132.94526253
"HW 030"	"33912 - 33911"	9453	"Honey"	"HW"	FALSE	"HW 030"	"7/13/2010 8:51"	"7/14/2010 8:15"	"7/13/2010 14:51"	"7/14/2010 14:15"	"13-Jul-10"	"16-Jul-10"	"Jul"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	690	400	5644	5662	NA	368	NA	90	"7/13/2010 8:51"	"7/14/2010 8:15"	NA	NA	NA	NA	NA	2010-07-13 14:51:00	2010-07-13	2010-07-13 13:51:00	2010-07-14 13:15:00	150071.5721025	2.151541	23.4	2010-07-13 05:00:00	2010-07-13 06:00:00	0.03862073	0	0	0	0	2932.19204268226	1699.8214740187	23984.4809984039	24060.9729647348	1563.83575609721	382.459831654208
"HW 031"	"34568 - 34567"	9496	"Honey"	"HW"	FALSE	"HW 031"	"7/15/2010 7:14"	"7/15/2010 15:23"	"7/15/2010 13:14"	"7/15/2010 21:23"	"15-Jul-10"	"16-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	0	0	27000	9800	22725	145109	NA	8385	NA	2378	"7/14/2010 21:45"	"7/16/2010 3:00"	518.5737	2810.739	"HW 031"	FALSE	"Rainfall"	2010-07-15 13:14:00	2010-07-15	2010-07-15 02:45:00	2010-07-16 08:00:00	44804688.8946	2810.739	29.25	2010-07-15 01:00:00	2010-07-15 13:00:00	82.45174083	0	0	0	0	34255642.5548282	12433529.5199006	28831832.4836471	184103779.092169	10638280.1045272	3017033.99982894
"HW 032"	"33914 - 33913"	9574	"Honey"	"HW"	FALSE	"HW 032"	"7/22/2010 10:15"	"7/22/2010 17:39"	"7/22/2010 16:15"	"7/22/2010 23:39"	"22-Jul-10"	"23-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	1457.13	1457.13	43000	25000	138238	485815	NA	10350	NA	4163	"7/22/2010 9:30"	"7/22/2010 17:55"	72.8442	859.7132	"HW 032"	FALSE	"Rainfall"	2010-07-22 16:15:00	2010-07-22	2010-07-22 14:30:00	2010-07-22 22:55:00	6293726.2599	859.7132	8.41666666666667	2010-07-22 13:00:00	2010-07-22 21:00:00	20.425636514	0	0	259687.495210248	259687.495210248	7663394.6827261	4455462.02484076	24636566.3755975	86581211.3439205	1844561.27828407	741923.536376483
"HW 033"	"33916 - 33915"	9611	"Honey"	"HW"	FALSE	"HW 033"	"7/23/2010 9:55"	"7/26/2010 4:27"	"7/23/2010 15:55"	"7/26/2010 10:27"	"23-Jul-10"	"26-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	343.12	343.12	6000	3400	8295	51784	NA	5560	NA	5793	"7/24/2010 1:30"	"7/26/2010 1:00"	191.3816	596.1523	"HW 033"	FALSE	"Rainfall"	2010-07-23 15:55:00	2010-07-23	2010-07-24 06:30:00	2010-07-26 06:00:00	16535374.5465	596.1523	47.5	2010-07-24 06:00:00	2010-07-24 13:00:00	34.58374494	0	0	160658.962440179	160658.962440179	2809377.98624701	1591980.85887331	3883965.06598649	24246804.9399692	2603356.93392223	2712454.44572149
"HW 034"	"33918 - 33917"	9827	"Honey"	"HW"	FALSE	"HW 034"	"8/4/2010 10:39"	"8/5/2010 8:50"	"8/4/2010 16:39"	"8/5/2010 14:50"	"4-Aug-10"	"5-Aug-10"	"Aug"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	580	920	4139	19789	NA	2648	NA	1688	"8/4/2010 10:39"	"8/5/2010 8:50"	NA	NA	NA	NA	NA	2010-08-04 16:39:00	2010-08-04	2010-08-04 15:39:00	2010-08-05 13:50:00	543200.2002	11.05797	22.1833333333333	2010-08-04 15:00:00	2010-08-05 13:00:00	0	0	0	0	0	8921.39570792811	14151.1793987825	63664.9255777835	304388.792524464	40730.7859217132	25964.3378534184
"HW 036"	"34001 - 34000"	9889	"Honey"	"HW"	FALSE	"HW 036"	"8/20/2010 18:43"	"8/21/2010 8:55"	"8/21/2010 0:43"	"8/21/2010 14:55"	"20-Aug-10"	"23-Aug-10"	"Aug"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	11000	20500	435646	381479	NA	25580	NA	8525	"8/20/2010 16:45"	"8/21/2010 18:00"	51.2031	341.642	"HW 036"	FALSE	"Rainfall"	2010-08-21 00:43:00	2010-08-21	2010-08-20 21:45:00	2010-08-21 23:00:00	4423964.596125	341.642	25.25	2010-08-20 08:00:00	2010-08-21 21:00:00	18.09706106	0	0	0	0	1377999.99476602	2568090.89933667	54574562.338167	47788914.5457588	3204476.35146498	1067949.99594367
"HW 037"	"34071 - 34070"	10124	"Honey"	"HW"	FALSE	"HW 037"	"10/13/2010 12:41"	"10/14/2010 10:56"	"10/13/2010 18:41"	"10/14/2010 16:56"	"13-Oct-10"	"14-Oct-10"	"Oct"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	2.73	2.73	20	150	76760	8342	NA	255	"BLD1:1"	60	"10/13/2010 12:41"	"10/14/2010 10:56"	NA	NA	NA	NA	NA	2010-10-13 18:41:00	2010-10-13	2010-10-13 17:41:00	2010-10-14 15:56:00	84313.62414	1.121065	22.25	2010-10-13 17:00:00	2010-10-14 15:00:00	0	0	0	6.51786397185904	6.51786397185904	47.7499192077586	358.124394058189	183264.189919377	19916.4913015561	608.811469898922	143.249757623276
"HW 038"	"34097 - 34096"	10329	"Honey"	"HW"	FALSE	"HW 038"	"11/10/2010 9:37"	"11/11/2010 7:47"	"11/10/2010 15:37"	"11/11/2010 13:47"	"10-Nov-10"	"11-Nov-10"	"Nov"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	240	210	154729	5039	"BLD1:1"	60	NA	363	"11/10/2010 9:37"	"11/11/2010 7:47"	NA	NA	NA	NA	NA	2010-11-10 15:37:00	2010-11-10	2010-11-10 15:37:00	2010-11-11 13:47:00	85533.61488	1.121065	22.1666666666667	2010-11-10 15:00:00	2010-11-11 13:00:00	0	0	0	0	0	581.29014024388	508.628872713395	374760.175457481	12204.6709028705	145.32253506097	879.201337118869
"HW 039"	"34115 - 34114"	10339	"Honey"	"HW"	FALSE	"HW 039"	"11/22/2010 7:32"	"11/23/2010 6:15"	"11/22/2010 13:32"	"11/23/2010 12:15"	"22-Nov-10"	"23-Nov-10"	"Nov"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	26800	18600	17568593	735921	NA	29592	NA	27202	"11/22/2010 5:30"	"11/23/2010 10:30"	30.0816	132.903	"HW 039"	FALSE	"Rainfall"	2010-11-22 13:32:00	2010-11-22	2010-11-22 11:30:00	2010-11-23 16:30:00	2599076.8128	132.903	29	2010-11-22 00:00:00	2010-11-22 23:00:00	13.21986071	0	0	0	0	1972417.27162203	1368916.4646332	1293007323.5559	54162063.0951254	2177901.93663579	2002003.53069637
"HW 040"	"34131 - 34130"	10341	"Honey"	"HW"	FALSE	"HW 040"	"11/29/2010 20:46"	"11/30/2010 18:10"	"11/30/2010 2:46"	"12/1/2010 0:10"	"29-Nov-10"	"1-Dec-10"	"Nov"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	9000	10400	7832827	331233	NA	44008	NA	47981	"11/29/2010 19:00"	"11/30/2010 22:30"	16.4018	45.4613	"HW 040"	FALSE	"Rainfall"	2010-11-30 02:46:00	2010-11-30	2010-11-30 01:00:00	2010-12-01 04:30:00	1417135.581375	45.46131	27.5	2010-11-29 23:00:00	2010-11-30 08:00:00	7.80732085	0	0	0	0	361159.297720745	417339.63292175	314322033.165344	13291986.4068817	1765988.70823273	1925420.47377101
"HW 041"	"34325 - 34324"	10359	"Honey"	"HW"	FALSE	"HW 041"	"12/11/2010 16:26"	"12/12/2010 18:19"	"12/11/2010 22:26"	"12/13/2010 0:19"	"11-Dec-10"	"13-Dec-10"	"Dec"	"Event"	"Mix"	"Mix"	"Rain"	0	0	0	0	2700	3500	4901986	327318	NA	31290	NA	19862	"12/11/2010 13:00"	"12/13/2010 0:30"	82.6166	202.46	"HW 041"	FALSE	"Mix"	2010-12-11 22:26:00	2010-12-11	2010-12-11 19:00:00	2010-12-13 06:30:00	7138070.26215	202.46	35.5	2010-12-11 20:00:00	2010-12-12 20:00:00	37.560588194	0	0	0	0	545744.629555791	707446.742016766	990826864.317656	66160015.0581268	6324573.87362989	4014659.19712486
"HW 042"	"34331 - 34330"	10364	"Honey"	"HW"	FALSE	"HW 042"	"12/19/2010 12:44"	"12/20/2010 9:07"	"12/19/2010 18:44"	"12/20/2010 15:07"	"19-Dec-10"	"20-Dec-10"	"Dec"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	190	280	641767	53372	NA	16043	NA	28381	"12/19/2010 12:44"	"12/20/2010 9:07"	NA	NA	NA	NA	NA	2010-12-19 18:44:00	2010-12-19	2010-12-19 18:44:00	2010-12-20 15:07:00	130635.593715	2.007288	20.3833333333333	2010-12-19 18:00:00	2010-12-20 15:00:00	0	0	0	0	0	702.845732669674	1035.7726586711	2374016.82799062	197433.065494978	59346.0741537873	104986.656520516
"HW 043"	"34558 - 34557"	10454	"Honey"	"HW"	FALSE	"HW 043"	"1/5/2011 10:01"	"1/6/2011 8:20"	"1/5/2011 16:01"	"1/6/2011 14:20"	"5-Jan-11"	"6-Jan-11"	"Jan"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	210	130	387152	105559	NA	10058	NA	12584	"1/5/2011 10:01"	"1/6/2011 8:20"	NA	NA	NA	NA	NA	2011-01-05 16:01:00	2011-01-05	2011-01-05 16:01:00	2011-01-06 14:20:00	135825.55347	2.303178	22.3166666666667	2011-01-05 21:00:00	2011-01-05 23:00:00	1.2552653	0	0	0	0	807.691785785531	499.999676914853	1489045.19166876	405995.8915035	38684.5903877661	48399.9687253578
"HW 044"	"34607 - 34606"	10469	"Honey"	"HW"	FALSE	"HW 044"	"2/16/2011 14:05"	"2/19/2011 21:22"	"2/16/2011 20:05"	"2/20/2011 3:22"	"16-Feb-11"	"21-Feb-11"	"Feb"	"Event"	"Mix"	"Mix"	"Baseflow"	0	0	0	0	0	100	200292	60030	NA	6983	NA	390	"2/16/2011 11:15"	"2/20/2011 3:00"	140.0043	132.903	"HW 044"	FALSE	"Mix"	2011-02-16 20:05:00	2011-02-16	2011-02-16 17:15:00	2011-02-20 09:00:00	12096403.78605	132.903	87.75	2011-02-16 17:00:00	2011-02-20 09:00:00	0	0	0	0	0	0	34253.2010324466	68606421.4119079	20562196.5797777	2391901.02809575	133587.484026542
"HW 045"	"34591 - 34590"	10477	"Honey"	"HW"	FALSE	"HW 045"	"2/28/2011 11:03"	"3/1/2011 14:43"	"2/28/2011 17:03"	"3/1/2011 20:43"	"28-Feb-11"	"1-Mar-11"	"Feb"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0.02	0	0.62	0.64	182	108	2813767	26091	NA	160716	NA	199107	"2/28/2011 11:03"	"3/1/2011 14:43"	NA	NA	NA	NA	NA	2011-02-28 17:03:00	2011-02-28	2011-02-28 17:03:00	2011-03-01 20:43:00	622528.609058	11.67652	27.6666666666667	2011-02-28 04:00:00	2011-02-28 06:00:00	0.70312175	0.352560942436531	0	10.9293892155324	11.281950157969	3208.30457617243	1903.82908915727	49601217.2658405	459933.377455576	2833109.22123147	3509867.57828551
